entry_filter,cost_bps_per_side,period,policy,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
all_drops,0,older,hold_20,1323,470,235,60.39304610733183,3.131952264111056,2.7005188398401048,-10.516132095912946,-39.00729108244532,11.11111111111111,10.134079020465714,-7.5449547555976695,-0.3669526335978057,0.23004910835269843,47.921390778533635,0.5415944540727802,-0.6877975633961642,0.7765359456054832,-5.721096543504178,20.0,4,5,11,11,descriptive only
all_drops,0,older,hold_30,1323,470,235,59.48601662887377,4.489426255634397,2.816571218058206,-13.652271090069313,-44.6772997032641,15.570672713529857,14.10703133122182,-9.631945375871764,-1.117080671020254,0.39063776831513614,46.86318972033258,0.8034697528182699,-1.117080671020254,0.20943272872411267,-6.9279261714434215,30.0,4,5,11,11,descriptive only
all_drops,0,older,recovery_30,1323,470,235,67.4225245653817,2.9978309651265334,5.832972739073994,-12.46600936812993,-44.6772997032641,13.151927437641723,9.340462250590463,-10.128914061866102,1.890270345539924,0.09801436219753104,56.840513983371125,2.8612302960863145,1.5862350860507357,3.476967857499791,-5.787138608551512,29.0,4,5,11,11,descriptive only
all_drops,0,older,recovery_stop_10,1323,470,235,64.70143613000756,2.6661790318652936,5.366795366795363,-11.986024890723728,-33.02084309865316,18.972033257747544,9.323090071636068,-9.535782103132105,1.3304473588176657,0.059222640912119144,54.043839758125465,2.489968377135865,0.763835335371077,2.675909843293167,-5.787138608551512,19.0,4,5,11,11,descriptive only
all_drops,0,older,trailing_close_10,1323,470,235,55.479969765684054,3.3585778585431587,1.549186676994574,-11.293358633776087,-33.02084309865316,15.797430083144368,12.621211542901568,-8.18433067170993,-1.9568636594446969,-0.14298605397494157,43.53741496598639,-0.6594849452418727,-1.8040178065253043,-0.7818689930758904,-6.118029236599886,30.0,3,5,10,11,descriptive only
all_drops,0,recent,hold_20,697,358,120,51.79340028694405,1.7083153598631207,0.3875968992248069,-13.203610561879957,-39.372247890501285,18.077474892395983,11.66230682292787,-8.986300468012994,-0.3130685921512999,0.23562369307332137,48.20659971305595,-0.12134729988253212,-1.4405716562516102,0.7089443527241057,-7.85250785250784,20.0,2,3,5,7,descriptive only
all_drops,0,recent,hold_30,697,358,120,51.21951219512195,3.370451991057655,0.593386610518265,-14.644237330109904,-41.473975126669735,19.79913916786227,15.752198784356086,-9.630382141905693,-0.5777169988602893,1.6720095201514298,48.63701578192253,2.155020514730049,-1.1876420943902537,1.878458402096883,-9.456462114526943,30.0,2,3,4,7,descriptive only
all_drops,0,recent,recovery_30,697,358,120,61.69296987087518,1.665432448341021,4.984481035299071,-13.892210334504469,-41.473975126669735,16.786226685796272,8.922863432029153,-10.022565016025634,3.4976152336894106,0.7309050597070689,60.832137733142034,4.598167157971972,3.0226169150275286,5.548479541474283,-7.4437895655970365,29.0,3,3,7,7,descriptive only
all_drops,0,recent,recovery_stop_10,697,358,120,54.51936872309899,0.16384184460877266,2.831729896532953,-13.099652987286811,-25.793735099025085,26.97274031563845,8.725965928364426,-10.099903113836488,1.7720259590063625,-0.4934817354000693,53.9454806312769,1.0691494103029135,0.1179817708469697,3.6333168297977725,-7.4437895655970365,12.0,2,3,6,7,descriptive only
all_drops,0,recent,trailing_close_10,697,358,120,41.89383070301291,0.7746683845207635,-3.239145416953837,-12.208532175716716,-25.793735099025085,20.22955523672884,13.515785055308276,-8.411519437380356,-3.7279583043565934,-0.4100794401570896,39.74175035868006,-2.1688512028275153,-3.6425109959180606,-2.3255813953488413,-7.4616334450520405,19.0,1,3,0,7,descriptive only
all_drops,10,older,hold_20,1323,470,235,59.78835978835979,2.925894417429527,2.4953229980022806,-10.694921042774252,-39.12915463672615,11.489040060468632,10.015015818807393,-7.614509771461248,-0.36621946150271434,0.22958946977457226,47.921390778533635,0.3407121474712671,-0.6864233424902499,0.575184225434433,-5.721096543504178,20.0,4,5,11,11,descriptive only
all_drops,10,older,hold_30,1323,470,235,58.730158730158735,4.280656173205569,2.6111435033368213,-13.82479402495428,-44.78783456899183,15.646258503401361,14.058432305268866,-9.633871399346045,-1.1148487416076214,0.3898572732735473,46.86318972033258,0.6020642188466152,-1.1148487416076214,0.009214081913477834,-6.9279261714434215,30.0,4,5,11,11,descriptive only
all_drops,10,older,recovery_30,1323,470,235,66.89342403628117,2.79204109306835,5.621518248086854,-12.640902456305488,-44.78783456899183,13.227513227513226,9.194546243407613,-10.144527532617145,1.8864935816127693,0.09781852930602711,56.840513983371125,2.655713352437794,1.5830657851794827,3.2702206689733337,-5.787138608551512,29.0,4,5,11,11,descriptive only
all_drops,10,older,recovery_stop_10,1323,470,235,64.24792139077853,2.461051801032406,5.15627229912945,-12.161876988844138,-33.154667587966536,19.65230536659108,9.169299823753137,-9.593939360305063,1.3277891223365312,0.059104313957249285,54.043839758125465,2.285193215543191,0.7623091908448787,2.470763170279622,-5.787138608551512,19.0,4,5,11,11,descriptive only
all_drops,10,older,trailing_close_10,1323,470,235,54.79969765684052,3.1520672134711556,1.3462911991184878,-11.47059468046184,-33.154667587966536,16.55328798185941,12.55089662890829,-8.242834669792932,-1.9529538419433163,-0.14270036755341292,43.53741496598639,-0.8579674928038239,-1.800413375343446,-0.9801070170657289,-6.118029236599886,30.0,3,5,10,11,descriptive only
all_drops,10,recent,hold_20,697,358,120,50.50215208034433,1.5051019425607082,0.18702228004554566,-13.377029921396666,-39.49338226035043,18.220946915351508,11.73442752442458,-8.93177517284823,-0.31244308047868596,0.23515291646378442,48.20659971305595,-0.3209050475351055,-1.437693391204156,0.507727680690695,-7.85250785250784,20.0,2,3,5,7,descriptive only
all_drops,10,recent,hold_30,697,358,120,50.64562410329986,3.1639176214451643,0.39240082308467095,-14.81477831446531,-41.590910241301756,20.22955523672884,15.697303466223342,-9.697376573923137,-0.576562719142304,1.6686688417894884,48.63701578192253,1.9509145796356848,-1.185269183112747,1.674905038656127,-9.456462114526943,30.0,2,3,4,7,descriptive only
all_drops,10,recent,recovery_30,697,358,120,60.97560975609756,1.4623047111815093,4.77472183243135,-14.064253870299655,-41.590910241301756,17.073170731707318,8.808726097435688,-10.016478704840644,3.490626991464274,0.7294447099374249,60.832137733142034,4.389179811003013,3.016577720392105,5.337593468464363,-7.4437895655970365,29.0,3,3,7,7,descriptive only
all_drops,10,recent,recovery_stop_10,697,358,120,54.08895265423242,-0.036285711524301045,2.626271894741672,-13.273280054245273,-25.941999364561497,27.69010043041607,8.577426462208892,-10.18431536620372,1.7684854475997325,-0.49249575790676253,53.9454806312769,0.8672130478447754,0.11774604303308722,3.426257255712284,-7.4437895655970365,12.0,2,3,5,7,descriptive only
all_drops,10,recent,trailing_close_10,697,358,120,41.46341463414634,0.573320395740513,-3.4324737977391218,-12.38393970383715,-25.941999364561497,21.37733142037303,13.42806898630825,-8.5321265225783,-3.7205098362160234,-0.40926010061631635,39.74175035868006,-2.36431803359109,-3.6352332516704777,-2.520735078874603,-7.4616334450520405,19.0,1,3,0,7,descriptive only
all_drops,25,older,hold_20,1323,470,235,58.57898715041572,2.617578437357397,2.188296800738665,-10.962435676481958,-39.311494119440596,12.093726379440666,9.888450541940953,-7.665133024416791,-0.3651224458990576,0.22890173125368402,47.921390778533635,0.04014011764350567,-0.6843671516086225,0.2739098311635546,-5.721096543504178,20.0,4,5,11,11,descriptive only
all_drops,25,older,hold_30,1323,470,235,57.67195767195767,3.9682819850327395,2.3037703641028306,-14.082933079645025,-44.95322339551714,16.099773242630384,13.971466852031421,-9.661057396252964,-1.111509196351823,0.3886894502686739,46.86318972033258,0.30070930517328565,-1.111509196351823,-0.29036494074582975,-6.9279261714434215,30.0,4,5,10,11,descriptive only
all_drops,25,older,recovery_30,1323,470,235,65.98639455782312,2.4841260725323977,5.305127488505068,-12.902587875022045,-44.95322339551714,13.60544217687075,8.991547261613082,-10.140271034284131,1.8808425632679038,0.09752551251075978,56.840513983371125,2.3482067035871355,1.5783236891128372,2.960873254719265,-5.787138608551512,29.0,4,5,11,11,descriptive only
all_drops,25,older,recovery_stop_10,1323,470,235,63.34089191232049,2.1541282636265735,4.841275190402383,-12.424997335159004,-33.35490373157758,20.786092214663643,8.97119898546689,-9.624645478439787,1.323811711142775,0.058927266144477436,54.043839758125465,1.9787964650304524,0.7600256828255825,2.1638105423291365,-5.787138608551512,19.0,4,5,11,11,descriptive only
all_drops,25,older,trailing_close_10,1323,470,235,53.81708238851096,2.8430737295728794,1.0427069429447489,-11.735785772759735,-33.35490373157758,18.367346938775512,12.439653408398609,-8.339847270957266,-1.947103740943735,-0.1422729065735717,43.53741496598639,-1.1549488607269343,-1.7950202114802916,-1.2767225143074101,-6.118029236599886,30.0,2,5,8,11,descriptive only
