entry_filter,cost_bps_per_side,period,policy,quarter,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
all_drops,0,older,hold_20,2024Q3,26,26,11,73.07692307692307,4.117957899409765,3.2105901521737756,-6.2350387243049585,-25.236711352770225,7.6923076923076925,8.629584647483506,-8.127886131076108,0.07473955155679057,1.5590035593355984,50.0,1.3600782991209537,-0.7735123516777909,-1.0619394144525396,-2.572570577323263,20.0,0,0,0,0,small (<30 trades)
all_drops,0,older,hold_20,2024Q4,222,203,46,54.054054054054056,1.9760550243473658,1.118575785726339,-9.917446495869036,-29.055768564370275,9.90990990990991,9.129936224545917,-6.440275799415635,-0.7690150243826688,0.2798929592318918,46.3963963963964,-0.6481077595590357,-0.8784222023808492,-0.23558630749367926,-5.346743725961172,20.0,1,1,0,2,descriptive only
all_drops,0,older,hold_20,2025Q1,275,240,50,32.72727272727273,-4.310066198941632,-3.968991593088589,-16.502909198142472,-39.00729108244532,26.545454545454543,6.405243406273216,-9.522919520397505,-0.2671208570189547,-0.2998751402923352,49.09090909090909,-2.6987556176929965,0.18289252196166395,-3.968991593088589,-9.466518917207534,20.0,0,1,0,4,descriptive only
all_drops,0,older,hold_20,2025Q2,408,363,47,84.06862745098039,9.045069652202145,8.207269068969625,-1.6740350896173717,-35.16927741283477,3.1862745098039214,11.77478116078423,-5.359408000777165,-1.093194850557421,-0.47838361713151983,44.85294117647059,4.430789133247082,-0.38984431157240707,3.9871187009608455,-5.372873067621692,20.0,1,1,5,5,descriptive only
all_drops,0,older,hold_20,2025Q3,194,185,48,61.34020618556701,3.3705873073326176,2.067487928673506,-8.834416621909668,-24.842798682503243,8.24742268041237,9.685231743701243,-6.6486485317056,0.060369028419948734,1.4285991359972812,51.03092783505154,0.6041122847788766,-1.4939714119255125,2.0234567494099243,-4.399405151015207,20.0,1,1,3,3,descriptive only
all_drops,0,older,hold_20,2025Q4,198,190,33,54.54545454545454,2.216199866753051,1.0159891150008482,-10.07369147114887,-27.408759124087588,10.606060606060606,9.905650554540566,-7.011140958591966,0.18104351014587294,1.021124181035325,51.010101010101,0.9848578111535167,-0.09331551065492327,1.853905214885021,-5.8310698137022,20.0,1,1,1,1,descriptive only
all_drops,0,older,hold_30,2024Q3,26,26,11,65.38461538461539,6.602174231859902,4.692701659377074,-15.365663592071893,-36.66086524117353,15.384615384615385,16.61043594483384,-12.302320114868646,1.8256904304227661,3.33258022965227,53.84615384615385,1.457559302657896,-0.24098997158370494,0.8377051954645331,-4.390785713684875,30.0,0,0,0,0,small (<30 trades)
all_drops,0,older,hold_30,2024Q4,222,203,46,52.702702702702695,2.187006544080486,0.6677439089418646,-11.909809508398308,-36.93535586134431,14.864864864864865,10.894545700096637,-7.515679944051799,-1.6284729928594754,0.1758874955348482,42.792792792792795,0.5468748594755324,-1.964936702458811,-0.7308078940468976,-6.920607284259633,30.0,1,1,1,2,descriptive only
all_drops,0,older,hold_30,2025Q1,275,240,50,25.09090909090909,-7.487886262442708,-7.018734727124631,-23.99857743762297,-44.6772997032641,40.36363636363636,8.4923239644614,-12.840480950095055,-1.0706836863302982,-0.9880886239457637,48.0,-5.412467683382319,0.020095686756255393,-4.01943462897526,-16.33858267716536,30.0,0,1,0,4,descriptive only
all_drops,0,older,hold_30,2025Q2,408,363,47,87.74509803921569,14.403322161276714,12.553274584536533,-0.853284352351352,-32.305112775047085,1.9607843137254901,17.16984933318733,-5.405012389603297,-1.2328969170097066,0.23128152980501263,47.30392156862745,6.179626734833477,-2.132453961139067,5.8705469141997035,-5.503039309694296,30.0,1,1,5,5,descriptive only
all_drops,0,older,hold_30,2025Q3,194,185,48,58.76288659793815,5.538454167938976,1.4672545900815348,-9.468683908410066,-22.397444854775927,9.793814432989691,14.041535920682193,-6.57843732972011,-1.8397019521112057,2.166173905323409,42.2680412371134,0.9466715436917572,-1.9622544629506633,1.9201203444510484,-4.873421122749034,30.0,1,1,3,3,descriptive only
all_drops,0,older,hold_30,2025Q4,198,190,33,56.56565656565656,1.9721824504079075,1.6169851711270833,-13.580181614040825,-41.25,15.656565656565657,10.818597231351962,-9.548729822449465,0.8407192785326478,0.7487041782481231,52.52525252525253,1.3768456970626843,-0.1917655059666068,2.3448128042354854,-6.941327540658704,30.0,1,1,1,1,descriptive only
all_drops,0,older,recovery_30,2024Q3,26,26,11,73.07692307692307,3.527669915731986,6.433976679465381,-9.004035364941732,-21.13996437611324,11.538461538461538,8.432021208474072,-9.784140735996536,3.877294808586318,1.7874444300765913,69.23076923076923,3.003735214774861,2.6953754377978534,2.618741107121081,-2.4422961161580603,26.0,0,0,0,0,small (<30 trades)
all_drops,0,older,recovery_30,2024Q4,222,203,46,62.612612612612615,1.816667400975893,3.8418467999798533,-10.21973521500686,-36.93535586134431,12.162162162162163,7.629981966080751,-7.918883497211762,1.8885349043833988,-0.017913357692260982,57.65765765765766,2.6257601265968518,0.5791994457499838,3.129840054307098,-5.7411421876268465,30.0,1,1,2,2,descriptive only
all_drops,0,older,recovery_30,2025Q1,275,240,50,41.090909090909086,-5.054009242922447,-3.2395233033066573,-23.822042257573376,-44.6772997032641,34.54545454545455,7.828539934817209,-14.03998490393838,1.5862350860507357,-0.05521575569387845,57.45454545454546,-2.3510381315304336,2.0161154935692482,-1.3735443415945126,-11.031224322103528,30.0,0,1,0,4,descriptive only
all_drops,0,older,recovery_30,2025Q2,408,363,47,89.2156862745098,9.33070413348193,9.33181234199202,-0.302796543041823,-32.305112775047085,1.715686274509804,11.148535186260608,-5.707716394050784,1.4061791975846223,-0.4086488278021379,54.90196078431373,6.58672352781613,2.39498589349022,6.2591225208208146,-5.413684526446854,22.0,1,1,5,5,descriptive only
all_drops,0,older,recovery_30,2025Q3,194,185,48,62.88659793814433,3.360751246425449,3.6653375777377484,-9.37123118266091,-22.397444854775927,9.793814432989691,9.392303556733612,-6.859379057152268,-0.02441818486241809,0.7446140883079198,50.0,1.8261874498468333,-0.7394167640987048,4.32182348009168,-4.537995431491954,30.0,1,1,3,3,descriptive only
all_drops,0,older,recovery_30,2025Q4,198,190,33,68.18181818181817,2.030557068551684,4.512614943698711,-10.939493082199752,-41.25,11.616161616161616,7.573063532783375,-9.846242497659084,2.8191203698368805,0.6294653173756396,64.14141414141415,3.734177215189871,2.5756129248351356,4.497392728354521,-5.653005919393461,29.5,1,1,1,1,descriptive only
all_drops,0,older,recovery_stop_10,2024Q3,26,26,11,73.07692307692307,3.381843451840463,6.433976679465381,-8.991476991762697,-33.02084309865316,7.6923076923076925,8.432021208474072,-10.325781887593621,3.877294808586318,1.7564504998554136,69.23076923076923,3.003735214774861,2.6953754377978534,2.618741107121081,-2.4422961161580603,18.0,0,0,0,0,small (<30 trades)
