entry_filter,cost_bps_per_side,period,policy,sector,trades,tickers,signal_dates,win_rate_pct,mean_net_return_pct,median_net_return_pct,p10_net_return_pct,worst_net_return_pct,loss_at_least_10pct_rate,mean_winner_pct,mean_loser_pct,median_excess_spy_pp,mean_excess_spy_pp,beat_spy_pct,date_balanced_median_return_pct,date_balanced_median_excess_spy_pp,median_return_without_3_largest_dates_pct,median_adverse_excursion_pct,median_sessions_to_exit,positive_quarters_min30,quarters_min30,positive_sectors_min30,sectors_min30,sample_flag
all_drops,0,older,hold_20,Communication Services,77,24,49,61.038961038961034,4.331104285671927,1.8823330801046811,-12.182436554189088,-39.00729108244532,15.584415584415584,13.48580215749043,-10.011255713510385,0.4900679253273976,2.6291970992279348,50.649350649350644,1.9379170293008396,1.0248568254038322,1.8127311442339922,-6.826838558452975,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_20,Consumer Discretionary,131,43,73,57.25190839694656,2.64089803956543,2.6704262730137707,-12.126381875255888,-24.80454545454546,14.50381679389313,10.673117102640614,-8.116538205624547,0.2167904697127021,1.045896085675892,50.38167938931297,1.837906751116647,-0.17219167794464418,1.1603492098574364,-6.967389742853025,20.0,1,2,1,1,descriptive only
all_drops,0,older,hold_20,Consumer Staples,58,29,40,63.793103448275865,1.5180125773355693,1.958457684609205,-10.473113156253044,-15.659955257270685,12.068965517241379,6.324646326136848,-6.950818313409544,-0.018727969951415346,-1.5500010375472644,50.0,1.174356062160753,0.20287391022991197,0.9547760276824024,-4.636746251229601,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_20,Energy,63,21,31,60.317460317460316,2.992982798499116,3.005887821506037,-8.566605020474988,-26.483209852785528,6.349206349206349,9.353463800687104,-6.674948324826626,0.006738281563234416,-0.01040575272088027,50.79365079365079,2.074890020437148,0.006738281563234416,2.8893415191237115,-4.638708704178618,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_20,Financials,174,76,54,65.51724137931035,3.6166029245993045,3.7368460689022776,-8.67974496343617,-26.61951909476662,8.620689655172415,8.869179615056577,-6.363292787269514,-0.36917174271435216,-0.6626165135452882,45.97701149425287,0.7407272679817112,-0.8045574838069752,-0.3547105561861552,-5.630423183288991,20.0,1,2,1,1,descriptive only
all_drops,0,older,hold_20,Health Care,162,56,88,59.25925925925925,1.620317691955184,2.0101240771072226,-11.288232453976764,-35.16927741283477,12.345679012345679,8.238675756597802,-8.00638494752499,-1.2470260426505453,-1.7618986497503313,45.06172839506173,0.9520769560728253,-0.5240637758288369,1.4491213151927251,-5.307240969412636,20.0,2,2,1,1,descriptive only
all_drops,0,older,hold_20,Industrials,205,80,84,58.048780487804876,3.035380000784429,2.2203776717161228,-9.885342807949735,-23.84102590198972,9.75609756097561,9.878230154028815,-6.433214978704893,-0.3669526335978057,0.47946120828472066,48.78048780487805,0.04955202580556595,-0.5410783163204838,-0.22999554264305222,-6.180986605684424,20.0,2,4,1,1,descriptive only
all_drops,0,older,hold_20,Information Technology,286,73,111,57.34265734265735,3.9949440969967798,2.555506508422656,-11.713475477658768,-33.127619934792726,13.286713286713287,13.43269579331109,-8.691869658704425,-0.2600092937506062,1.7153988718979178,49.3006993006993,-0.8805187809476478,-1.306947185423768,-0.4109662804915093,-6.968151483449575,20.0,3,5,1,1,descriptive only
all_drops,0,older,hold_20,Materials,73,23,47,60.273972602739725,3.532994957417051,1.8960847081999521,-8.639511302716707,-18.029225908372837,8.21917808219178,9.816173131276946,-6.00010296154279,-0.04912371946696936,0.9570687463197791,49.31506849315068,0.575590273699067,-0.02122009171712791,0.575590273699067,-5.091078935077076,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_20,Real Estate,48,26,21,70.83333333333334,3.420903079850422,4.945648242252288,-7.487951772126833,-15.308351537556709,6.25,7.301278106577413,-6.00286484220084,-1.5562867397973688,-1.895480555370713,37.5,3.2691207739009687,-0.296492402842774,1.636313711338988,-5.634114142334451,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_20,Utilities,46,19,26,67.3913043478261,2.365614344457388,3.4667409153410045,-8.166546931414814,-27.5476452984722,6.521739130434782,6.862683683120405,-6.928328955446185,-1.2165538966841805,-2.426167243100085,43.47826086956522,2.3134786793410966,0.9501041069365973,3.124459513522082,-4.474134320717144,20.0,0,0,1,1,descriptive only
all_drops,0,older,hold_30,Communication Services,77,24,49,55.84415584415584,7.368729546938362,1.696782723666801,-14.92151433200563,-43.844643858665165,19.480519480519483,22.112170480201577,-11.277386927482766,-0.8333090986600955,4.89547912378992,49.35064935064935,1.696782723666801,0.3541801850048767,0.48893463715902197,-7.800793301013664,30.0,0,0,1,1,descriptive only
all_drops,0,older,hold_30,Consumer Discretionary,131,43,73,60.30534351145038,4.663184445761099,4.211793020457266,-16.19352869352869,-36.717019133937555,15.267175572519085,15.026626603308127,-11.081275755127661,0.41715402328175166,1.9045344808658686,51.908396946564885,2.61932887345972,0.6140199376362006,1.6735492284286169,-7.461389961389953,30.0,1,2,1,1,descriptive only
all_drops,0,older,hold_30,Consumer Staples,58,29,40,56.896551724137936,2.90360386572815,1.053607239854082,-5.8822850848125094,-18.344519015659955,5.172413793103448,8.995599835242784,-5.137830814031165,-1.9843445985955277,-0.8832834666211191,44.827586206896555,0.2298888975409974,-1.2873518970145104,1.053607239854082,-4.817494548016782,30.0,0,0,1,1,descriptive only
all_drops,0,older,hold_30,Energy,63,21,31,61.904761904761905,3.5713950794386284,0.6545454545454632,-7.296835476857928,-27.503974562798096,7.936507936507936,10.12897350397335,-7.084669860430293,0.6791516412809395,-0.2912378739027163,50.79365079365079,0.245457040858843,-2.347459640739491,0.407195814485406,-6.151689767948909,30.0,0,0,1,1,descriptive only
all_drops,0,older,hold_30,Financials,174,76,54,65.51724137931035,6.062212942950896,4.319166157780597,-10.700354153857392,-33.02218011591618,13.218390804597702,13.8457897925287,-8.726583071246937,-0.44396025152505514,-0.2826528037245191,48.85057471264368,1.3281110678115908,-0.29645425986709606,-0.9279307145066418,-5.919511977656805,30.0,1,2,1,1,descriptive only
all_drops,0,older,hold_30,Health Care,162,56,88,58.0246913580247,1.599990603107023,2.2050508069944574,-13.291599239038822,-32.305112775047085,14.19753086419753,8.971586600402778,-8.590156804919463,-1.970608577713806,-2.99495254028868,41.358024691358025,1.1385637594372833,-1.0763253293620823,0.925122867880912,-6.2698193334806245,30.0,2,2,1,1,descriptive only
all_drops,0,older,hold_30,Industrials,205,80,84,60.97560975609756,4.713311301521922,2.98899815013145,-11.94410303587856,-41.249809170016796,13.170731707317074,13.251268437585532,-8.627246723577471,-1.001929675409908,0.694757825746566,45.85365853658537,0.2536197139752172,-1.3247324380342642,0.4568976227352417,-6.8407795306907,30.0,3,4,1,1,descriptive only
all_drops,0,older,hold_30,Information Technology,286,73,111,56.64335664335665,4.939108568440146,2.684391042457801,-18.28086099102174,-44.6772997032641,23.776223776223777,18.194078987215175,-12.37786891415304,0.29977886454773994,2.0721693303557047,51.048951048951054,0.007343197283626868,-0.7857449425421104,-0.16740434801991166,-8.09366239556088,30.0,3,5,1,1,descriptive only
